DATE,CARRIER_CODE,AIRPORT_CODE,DELAY_CAUSE,DELAY_MINUTES
2025-06-01,9E,ILM,NAS_DELAY,729.0
2025-06-01,9E,ILM,SECURITY_DELAY,0.0
2025-06-01,9E,ILM,WEATHER_DELAY,0.0
2025-06-01,9E,IND,CARRIER_DELAY,1615.0
2025-06-01,9E,IND,LATE_AIRCRAFT_DELAY,3747.0
2025-06-01,9E,IND,NAS_DELAY,3148.0
2025-06-01,9E,IND,SECURITY_DELAY,0.0
2025-06-01,9E,IND,WEATHER_DELAY,46.0
2025-06-01,9E,ITH,CARRIER_DELAY,823.0
2025-06-01,9E,ITH,LATE_AIRCRAFT_DELAY,797.0
2025-06-01,9E,ITH,NAS_DELAY,112.0
2025-06-01,9E,ITH,SECURITY_DELAY,0.0
2025-06-01,9E,ITH,WEATHER_DELAY,52.0
2025-06-01,9E,JAN,CARRIER_DELAY,277.0
2025-06-01,9E,JAN,LATE_AIRCRAFT_DELAY,96.0
2025-06-01,9E,JAN,NAS_DELAY,157.0
2025-06-01,9E,JAN,SECURITY_DELAY,0.0
2025-06-01,9E,JAN,WEATHER_DELAY,38.0
2025-06-01,9E,JAX,CARRIER_DELAY,1348.0
2025-06-01,9E,JAX,LATE_AIRCRAFT_DELAY,2651.0
2025-06-01,9E,JAX,NAS_DELAY,1529.0
2025-06-01,9E,JAX,SECURITY_DELAY,0.0
2025-06-01,9E,JAX,WEATHER_DELAY,0.0
2025-06-01,9E,JFK,CARRIER_DELAY,10038.0
2025-06-01,9E,JFK,LATE_AIRCRAFT_DELAY,16529.0
2025-06-01,9E,JFK,NAS_DELAY,22372.0
2025-06-01,9E,JFK,SECURITY_DELAY,0.0
2025-06-01,9E,JFK,WEATHER_DELAY,2790.0
2025-06-01,9E,LEX,CARRIER_DELAY,333.0
2025-06-01,9E,LEX,LATE_AIRCRAFT_DELAY,1598.0
2025-06-01,9E,LEX,NAS_DELAY,418.0
2025-06-01,9E,LEX,SECURITY_DELAY,0.0
2025-06-01,9E,LEX,WEATHER_DELAY,102.0
2025-06-01,9E,LFT,CARRIER_DELAY,342.0
2025-06-01,9E,LFT,LATE_AIRCRAFT_DELAY,432.0
2025-06-01,9E,LFT,NAS_DELAY,243.0
2025-06-01,9E,LFT,SECURITY_DELAY,0.0
2025-06-01,9E,LFT,WEATHER_DELAY,257.0
2025-06-01,9E,LGA,CARRIER_DELAY,18032.0
2025-06-01,9E,LGA,LATE_AIRCRAFT_DELAY,28028.0
2025-06-01,9E,LGA,NAS_DELAY,25638.0
2025-06-01,9E,LGA,SECURITY_DELAY,0.0
2025-06-01,9E,LGA,WEATHER_DELAY,5828.0
2025-06-01,9E,LIT,CARRIER_DELAY,548.0
2025-06-01,9E,LIT,LATE_AIRCRAFT_DELAY,555.0
2025-06-01,9E,LIT,NAS_DELAY,322.0
2025-06-01,9E,LIT,SECURITY_DELAY,0.0
