DATE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED
2025-06-01,DFW,28293.0,8780.0,0.0,0.0,242291.0,66897.0,124851.0,689.0,337840.0,31.03241084367158,0.0,0.0
2025-06-01,DHN,86.0,33.0,0.0,0.0,1765.0,318.0,269.0,0.0,813.0,38.372093023255815,0.0,0.0
2025-06-01,DIK,56.0,24.0,0.0,0.0,539.0,95.0,373.0,0.0,1233.0,42.857142857142854,0.0,0.0
2025-06-01,DLG,49.0,8.0,0.0,0.0,373.0,0.0,23.0,0.0,48.0,16.3265306122449,0.0,0.0
2025-06-01,DLH,225.0,49.0,0.0,0.0,2258.0,0.0,460.0,0.0,1750.0,21.777777777777775,0.0,0.0
2025-06-01,DRO,398.0,95.0,0.0,0.0,3767.0,957.0,529.0,0.0,3395.0,23.869346733668344,0.0,0.0
2025-06-01,DSM,1631.0,494.0,0.0,0.0,12728.0,4035.0,4662.0,22.0,16640.0,30.288166768853465,0.0,0.0
2025-06-01,DTW,12695.0,2891.0,0.0,0.0,105037.0,21939.0,37710.0,219.0,93291.0,22.77274517526585,0.0,0.0
2025-06-01,DVL,55.0,8.0,0.0,0.0,107.0,0.0,138.0,0.0,251.0,14.545454545454545,0.0,0.0
2025-06-01,EAR,52.0,14.0,0.0,0.0,300.0,0.0,214.0,0.0,1346.0,26.923076923076923,0.0,0.0
2025-06-01,EAT,60.0,11.0,0.0,0.0,75.0,0.0,52.0,0.0,179.0,18.333333333333332,0.0,0.0
2025-06-01,EAU,52.0,21.0,0.0,0.0,687.0,297.0,114.0,0.0,1033.0,40.38461538461539,0.0,0.0
2025-06-01,ECP,1213.0,396.0,0.0,0.0,8578.0,1776.0,5149.0,3.0,13144.0,32.64633140972795,0.0,0.0
2025-06-01,EGE,189.0,52.0,0.0,0.0,1126.0,381.0,354.0,0.0,2817.0,27.513227513227513,0.0,0.0
2025-06-01,EKO,48.0,3.0,0.0,0.0,96.0,0.0,4.0,0.0,0.0,6.25,0.0,0.0
2025-06-01,ELM,102.0,24.0,0.0,0.0,1096.0,384.0,74.0,0.0,87.0,23.52941176470588,0.0,0.0
2025-06-01,ELP,1616.0,505.0,0.0,0.0,11702.0,1948.0,3097.0,14.0,18897.0,31.25,0.0,0.0
2025-06-01,ERI,90.0,14.0,0.0,0.0,375.0,42.0,129.0,0.0,557.0,15.555555555555555,0.0,0.0
2025-06-01,ESC,52.0,8.0,0.0,0.0,428.0,0.0,27.0,0.0,0.0,15.384615384615385,0.0,0.0
2025-06-01,EUG,869.0,222.0,0.0,0.0,3578.0,399.0,1281.0,53.0,6667.0,25.546605293440738,0.0,0.0
2025-06-01,EVV,378.0,113.0,0.0,0.0,2333.0,607.0,1452.0,0.0,2907.0,29.894179894179896,0.0,0.0
2025-06-01,EWN,161.0,55.0,0.0,0.0,844.0,852.0,678.0,0.0,2360.0,34.161490683229815,0.0,0.0
2025-06-01,EWR,9774.0,2648.0,0.0,0.0,51362.0,17900.0,129339.0,135.0,71748.0,27.09228565582157,0.0,0.0
2025-06-01,EYW,504.0,109.0,0.0,0.0,3023.0,158.0,1581.0,0.0,2765.0,21.626984126984127,0.0,0.0
2025-06-01,FAI,584.0,150.0,0.0,0.0,2234.0,28.0,1093.0,83.0,2907.0,25.684931506849317,0.0,0.0
2025-06-01,FAR,625.0,179.0,0.0,0.0,5309.0,724.0,1635.0,0.0,5810.0,28.64,0.0,0.0
2025-06-01,FAT,1261.0,293.0,0.0,0.0,5660.0,1274.0,2483.0,0.0,8585.0,23.2355273592387,0.0,0.0
2025-06-01,FAY,296.0,97.0,0.0,0.0,1757.0,1180.0,887.0,0.0,4044.0,32.77027027027027,0.0,0.0
2025-06-01,FCA,661.0,166.0,0.0,0.0,3619.0,543.0,1189.0,0.0,3603.0,25.113464447806354,0.0,0.0
2025-06-01,FLG,123.0,44.0,0.0,0.0,4112.0,47.0,130.0,0.0,770.0,35.77235772357724,0.0,0.0
2025-06-01,FLL,6562.0,1873.0,0.0,0.0,37153.0,8120.0,34665.0,392.0,57063.0,28.543127095397747,0.0,0.0
2025-06-01,FLO,83.0,16.0,0.0,0.0,92.0,226.0,6.0,0.0,635.0,19.27710843373494,0.0,0.0
2025-06-01,FMN,30.0,10.0,0.0,0.0,865.0,0.0,166.0,0.0,346.0,33.33333333333333,0.0,0.0
2025-06-01,FNT,319.0,108.0,0.0,0.0,4815.0,975.0,806.0,0.0,4730.0,33.85579937304075,0.0,0.0
2025-06-01,FOD,52.0,6.0,0.0,0.0,132.0,0.0,4.0,0.0,59.0,11.538461538461538,0.0,0.0
2025-06-01,FSD,749.0,228.0,0.0,0.0,7437.0,2830.0,2543.0,0.0,5344.0,30.440587449933243,0.0,0.0
2025-06-01,FSM,106.0,36.0,0.0,0.0,378.0,219.0,234.0,0.0,1118.0,33.9622641509434,0.0,0.0
2025-06-01,FWA,645.0,212.0,0.0,0.0,7802.0,3126.0,1876.0,0.0,5459.0,32.86821705426357,0.0,0.0
2025-06-01,GCC,60.0,18.0,0.0,0.0,701.0,0.0,347.0,0.0,1297.0,30.0,0.0,0.0
2025-06-01,GCK,60.0,15.0,0.0,0.0,59.0,47.0,283.0,0.0,400.0,25.0,0.0,0.0
2025-06-01,GEG,2041.0,474.0,0.0,0.0,9606.0,319.0,3004.0,294.0,11545.0,23.22390984811367,0.0,0.0
2025-06-01,GFK,99.0,14.0,0.0,0.0,507.0,319.0,84.0,0.0,55.0,14.14141414141414,0.0,0.0
2025-06-01,GGG,60.0,19.0,0.0,0.0,908.0,0.0,236.0,0.0,377.0,31.666666666666664,0.0,0.0
2025-06-01,GJT,413.0,111.0,0.0,0.0,2903.0,421.0,1099.0,22.0,4156.0,26.876513317191282,0.0,0.0
2025-06-01,GNV,354.0,86.0,0.0,0.0,1444.0,363.0,707.0,0.0,2259.0,24.293785310734464,0.0,0.0
2025-06-01,GPT,398.0,122.0,0.0,0.0,3204.0,1232.0,1145.0,0.0,4857.0,30.65326633165829,0.0,0.0
2025-06-01,GRB,503.0,139.0,0.0,0.0,4337.0,904.0,1924.0,0.0,1991.0,27.634194831013914,0.0,0.0
2025-06-01,GRI,82.0,16.0,0.0,0.0,715.0,520.0,101.0,0.0,119.0,19.51219512195122,0.0,0.0
2025-06-01,GRK,139.0,44.0,0.0,0.0,477.0,289.0,405.0,8.0,928.0,31.654676258992804,0.0,0.0
2025-06-01,GRR,1910.0,571.0,0.0,0.0,14734.0,3414.0,4821.0,0.0,19905.0,29.895287958115187,0.0,0.0
2025-06-01,GSO,1368.0,429.0,0.0,0.0,12407.0,3252.0,5519.0,10.0,15780.0,31.359649122807014,0.0,0.0
2025-06-01,GSP,1732.0,613.0,0.0,0.0,13943.0,4557.0,8051.0,124.0,22531.0,35.392609699769054,0.0,0.0
2025-06-01,GST,24.0,4.0,0.0,0.0,0.0,82.0,24.0,0.0,61.0,16.666666666666664,0.0,0.0
2025-06-01,GTF,232.0,42.0,0.0,0.0,951.0,166.0,210.0,0.0,2385.0,18.103448275862068,0.0,0.0
2025-06-01,GTR,90.0,34.0,0.0,0.0,671.0,77.0,309.0,0.0,1067.0,37.77777777777778,0.0,0.0
2025-06-01,GUC,91.0,24.0,0.0,0.0,360.0,126.0,684.0,0.0,1171.0,26.373626373626376,0.0,0.0
2025-06-01,GUF,52.0,13.0,0.0,0.0,249.0,1.0,73.0,0.0,247.0,25.0,0.0,0.0
2025-06-01,GUM,60.0,2.0,0.0,0.0,20.0,0.0,13.0,0.0,0.0,3.3333333333333335,0.0,0.0
2025-06-01,HDN,127.0,38.0,0.0,0.0,519.0,941.0,720.0,0.0,1514.0,29.92125984251969,0.0,0.0
2025-06-01,HGR,43.0,21.0,0.0,0.0,256.0,534.0,195.0,0.0,680.0,48.837209302325576,0.0,0.0
2025-06-01,HHH,284.0,62.0,0.0,0.0,1044.0,56.0,1303.0,3.0,945.0,21.830985915492956,0.0,0.0
2025-06-01,HIB,52.0,4.0,0.0,0.0,296.0,0.0,1.0,0.0,0.0,7.6923076923076925,0.0,0.0
2025-06-01,HLN,180.0,46.0,0.0,0.0,1278.0,0.0,862.0,0.0,2094.0,25.555555555555554,0.0,0.0
2025-06-01,HNL,4971.0,896.0,0.0,0.0,29896.0,207.0,2785.0,800.0,16117.0,18.024542345604505,0.0,0.0
2025-06-01,HOB,60.0,33.0,0.0,0.0,1928.0,650.0,843.0,0.0,915.0,55.00000000000001,0.0,0.0
2025-06-01,HOU,4932.0,1419.0,0.0,0.0,18210.0,2751.0,17538.0,147.0,41806.0,28.771289537712896,0.0,0.0
2025-06-01,HPN,1027.0,260.0,0.0,0.0,5481.0,1496.0,3114.0,0.0,10324.0,25.31645569620253,0.0,0.0
2025-06-01,HRL,447.0,132.0,0.0,0.0,2871.0,834.0,799.0,0.0,6921.0,29.53020134228188,0.0,0.0
2025-06-01,HSV,1222.0,425.0,0.0,0.0,13219.0,3307.0,5831.0,0.0,16178.0,34.779050736497545,0.0,0.0
2025-06-01,HTS,185.0,64.0,0.0,0.0,781.0,424.0,563.0,0.0,3117.0,34.5945945945946,0.0,0.0
2025-06-01,HYA,49.0,9.0,0.0,0.0,127.0,0.0,177.0,0.0,70.0,18.367346938775512,0.0,0.0
2025-06-01,HYS,52.0,20.0,0.0,0.0,1005.0,0.0,214.0,0.0,979.0,38.46153846153847,0.0,0.0
2025-06-01,IAD,8569.0,2194.0,0.0,0.0,62491.0,13650.0,41400.0,56.0,105823.0,25.603921110981442,0.0,0.0
2025-06-01,IAG,38.0,12.0,0.0,0.0,1159.0,90.0,79.0,0.0,412.0,31.57894736842105,0.0,0.0
2025-06-01,IAH,14564.0,4348.0,0.0,0.0,106002.0,39658.0,144568.0,85.0,149846.0,29.854435594616863,0.0,0.0
2025-06-01,ICT,1170.0,398.0,0.0,0.0,11175.0,2187.0,4387.0,0.0,14934.0,34.01709401709402,0.0,0.0
2025-06-01,IDA,452.0,127.0,0.0,0.0,2661.0,635.0,1486.0,0.0,3779.0,28.097345132743364,0.0,0.0
2025-06-01,ILM,1064.0,295.0,0.0,0.0,8405.0,2926.0,4624.0,0.0,10409.0,27.725563909774436,0.0,0.0
2025-06-01,IMT,60.0,10.0,0.0,0.0,604.0,22.0,34.0,0.0,0.0,16.666666666666664,0.0,0.0
2025-06-01,IND,4545.0,1346.0,0.0,0.0,28410.0,5860.0,17715.0,116.0,49896.0,29.61496149614962,0.0,0.0
2025-06-01,INL,53.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.8867924528301887,0.0,0.0
2025-06-01,ISP,449.0,137.0,0.0,0.0,3424.0,697.0,802.0,8.0,6287.0,30.51224944320713,0.0,0.0
2025-06-01,ITH,120.0,41.0,0.0,0.0,2042.0,857.0,338.0,0.0,2380.0,34.166666666666664,0.0,0.0
2025-06-01,ITO,548.0,50.0,0.0,0.0,1084.0,0.0,7.0,34.0,851.0,9.124087591240876,0.0,0.0
2025-06-01,JAC,717.0,163.0,0.0,0.0,3177.0,1310.0,1769.0,0.0,5152.0,22.733612273361228,0.0,0.0
2025-06-01,JAN,810.0,276.0,0.0,0.0,6857.0,2552.0,2064.0,173.0,10202.0,34.074074074074076,0.0,0.0
2025-06-01,JAX,2698.0,935.0,0.0,0.0,21029.0,4959.0,14308.0,75.0,30148.0,34.655300222386956,0.0,0.0
2025-06-01,JFK,10702.0,3167.0,0.0,0.0,69750.0,11838.0,110078.0,46.0,90408.0,29.592599514109512,0.0,0.0
2025-06-01,JLN,60.0,23.0,0.0,0.0,2235.0,46.0,956.0,0.0,518.0,38.333333333333336,0.0,0.0
2025-06-01,JMS,55.0,9.0,0.0,0.0,286.0,0.0,14.0,0.0,231.0,16.363636363636363,0.0,0.0
2025-06-01,JNU,486.0,112.0,0.0,0.0,1442.0,0.0,963.0,81.0,2516.0,23.045267489711936,0.0,0.0
2025-06-01,JST,60.0,23.0,0.0,0.0,1014.0,69.0,215.0,0.0,1567.0,38.333333333333336,0.0,0.0
2025-06-01,KOA,1330.0,200.0,0.0,0.0,4509.0,90.0,1518.0,86.0,2921.0,15.037593984962406,0.0,0.0
2025-06-01,KTN,229.0,56.0,0.0,0.0,1386.0,107.0,564.0,0.0,989.0,24.45414847161572,0.0,0.0
2025-06-01,LAN,200.0,61.0,0.0,0.0,1929.0,466.0,561.0,0.0,1167.0,30.5,0.0,0.0
2025-06-01,LAR,52.0,10.0,0.0,0.0,1080.0,0.0,151.0,0.0,86.0,19.230769230769234,0.0,0.0
2025-06-01,LAS,15966.0,3862.0,0.0,0.0,73926.0,11227.0,46634.0,259.0,121972.0,24.188901415507953,0.0,0.0
2025-06-01,LAW,90.0,36.0,0.0,0.0,628.0,366.0,350.0,5.0,1815.0,40.0,0.0,0.0
2025-06-01,LAX,17148.0,3730.0,0.0,0.0,114238.0,19167.0,35764.0,1016.0,107497.0,21.751807790996033,0.0,0.0
2025-06-01,LBB,665.0,227.0,0.0,0.0,4959.0,1769.0,2149.0,58.0,7410.0,34.13533834586466,0.0,0.0
2025-06-01,LBE,63.0,23.0,0.0,0.0,583.0,129.0,458.0,30.0,244.0,36.507936507936506,0.0,0.0
2025-06-01,LBF,52.0,15.0,0.0,0.0,535.0,0.0,190.0,0.0,192.0,28.846153846153843,0.0,0.0
2025-06-01,LBL,52.0,13.0,0.0,0.0,335.0,27.0,33.0,0.0,451.0,25.0,0.0,0.0
2025-06-01,LCH,171.0,59.0,0.0,0.0,1723.0,888.0,368.0,0.0,1801.0,34.50292397660819,0.0,0.0
2025-06-01,LCK,162.0,55.0,0.0,0.0,588.0,499.0,930.0,0.0,1533.0,33.95061728395062,0.0,0.0
2025-06-01,LEX,1045.0,404.0,0.0,0.0,10122.0,5025.0,4269.0,0.0,13835.0,38.66028708133971,0.0,0.0
2025-06-01,LFT,462.0,149.0,0.0,0.0,4090.0,1793.0,1564.0,146.0,5781.0,32.25108225108225,0.0,0.0
2025-06-01,LGA,13936.0,4292.0,0.0,0.0,89416.0,30172.0,146408.0,138.0,128848.0,30.797933409873707,0.0,0.0
2025-06-01,LGB,1430.0,297.0,0.0,0.0,3640.0,531.0,904.0,11.0,8448.0,20.76923076923077,0.0,0.0
